L(T-168),L(T)
5551.82208,5346.52812
4983.17184,5138.89596
4888.3968,4940.77248
5072.95872,4766.18688
5196.2598,5020.1154
5641.2972,5588.76564
7153.17732,6436.59696
7849.80504,6978.7476
6329.97504,6643.44972
6292.8756,3907.9116
5349.8016,7154.892
5225.40936,6498.32544
5000.47452,6414.15024
4775.53968,7272.11376
6177.05676,8264.7576
6177.05676,8058.996
6155.7012,7751.60064
6212.12976,7267.1256
7424.25264,6523.11036
7407.4176,5761.79244
7068.22272,5363.8308
6515.784,5104.2906
6350.08356,4993.14816
5502.25224,5202.65088
4931.2638,5761.3248
4775.53968,5988.28608
4713.8112,6197.7888
4689.02628,6424.75008
4844.7504,6644.22912
5571.46296,6626.4588
6150.71304,6847.34076
6296.30496,6354.60408
6515.16048,6354.60408
6269.64948,6150.71304
5607.0036,5827.88556
5932.7928,5929.83108
5675.5908,6127.95456
5675.27904,6843.75552
5435.5356,8063.04888
5572.71,8063.04888
6023.2032,8063.04888
6110.496,6955.67736
7951.75056,6687.252
8013.0114,5709.8844
7591.82364,5554.16028
7088.17536,5450.3442
6477.12576,5294.62008
5848.6176,5208.10668
5460.4764,5260.01472
5097.89952,5420.88288
5062.9824,6094.28448
5080.44096,6683.51088
5324.8608,6717.18096
5970.82752,6750.85104
6477.12576,6835.02624
6635.8116,6919.20144
6635.8116,6700.34592
6371.595,6447.82032
6303.63132,6422.56776
6447.1968,6456.5496
6104.2608,6354.60408
5778.4716,6473.54052
5865.60852,7051.2318
5847.0588,8546.43276
6104.2608,8393.51448
6704.3988,8291.56896
7510.2984,7170.16824
7995.0852,7526.97756
7641.2376,3381.19308
5918.45184,5415.73884
6394.04172,5277.3174
5813.70048,6288.35508
5619.00636,5865.60852
5384.40696,6099.74028
5052.38256,6065.75844
5277.3174,6082.74936
5709.8844,6966.2772
6481.4904,6439.55868
7272.73728,6473.54052
7390.2708,6430.98528
7192.92672,6750.85104
6412.9032,6584.3712
6464.3436,6464.3436
6395.7564,6412.9032
4903.9848,6303.63132
6292.8756,6652.9584
6052.8204,7306.0956
6052.8204,8529.44184
6121.4076,8648.37828
6052.8204,8648.37828
8110.4364,7645.914
8196.1704,7255.12284
8045.7462,6327.1692
7786.206,5970.82752
6746.33052,5796.24192
5935.9104,5484.94956
5447.07072,5707.07856
4713.8112,5865.60852
5002.50096,6116.7312
5037.72984,6807.2796
5865.60852,8024.7024
5984.2332,6807.2796
7474.75776,6670.1052
7205.39712,6779.37708
6548.83056,6738.6924
6001.38,6721.5456
6310.0224,6515.784
5864.2056,6052.8204
6031.7766,6350.08356
4764.31632,6592.32108
4730.64624,7115.922
5774.41872,8179.0236
6228.9648,8218.773
6464.65536,7832.81412
7518.0924,7747.85952
8013.7908,8410.5054
6366.9186,6167.70396
6824.11464,5522.049
5915.33424,5242.71204
5900.21388,5126.8932
5761.3248,5478.09084
5726.40768,5757.58368
6024.13848,6145.41312
6599.33568,7076.79612
5534.36352,7272.11376
6267.62304,7679.89584
7482.520584,7272.73728
5895.319248,6801.35616
6429.613536,6750.85104
6094.28448,6144.7896
5709.8844,6127.95456
5912.84016,6133.72212
6001.38,6082.74936
5799.484224,6762.38616
5851.11168,7051.2318
6040.412352,8257.89888
7479.20034,8374.49712
7373.124,8144.73
7630.326,7218.8028
7476.0048,6921.072
6660.44064,6678.83448
6082.74936,6182.66844
6292.56384,5846.43528
6847.8084,5757.58368
5636.6208,5722.04304
5307.40224,5988.59784
5242.71204,6378.6096
5260.01472,7767.5004
5829.912,7613.1792
6930.4248,6700.34592
7897.03668,6851.86128
7584.18552,6952.87152
4847.24448,6902.3664
5933.41632,6835.02624
6014.47392,6643.44972
5898.4992,6439.55868
6138.5544,6412.9032
6001.38,6601.518
5744.48976,7094.0988
5709.8844,8357.19444
6073.24068,8097.65424
6807.2796,7558.93296
7818.9408,7323.08652
7870.3812,6796.368
7716.99528,5433.04152
7094.0988,6232.70592
6384.68892,5778.78336
5640.67368,5604.19776
5346.52812,5918.45184
5138.89596,6127.95456
4940.77248,7611.93216
4766.18688,7629.39072
5020.1154,7769.0592
5588.76564,6531.99552
6436.59696,6885.53136
6978.7476,6296.30496
